2008-07-11 12:17:33 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:17:33 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 23]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 28]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 29]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 33]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 35]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 37]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 39]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 41]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 47]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 48]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 49]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 50]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 51]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 52]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 57]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 70]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 71]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 72]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 74]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 76]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 89]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 89]
2008-07-11 12:19:43 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 89]
2008-07-11 12:19:44 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:19:44 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 44]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 45]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 46]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 47]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 52]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 53]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 54]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 56]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  torrent in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 58]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 71]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 71]
2008-07-11 12:23:02 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 71]
2008-07-11 12:23:03 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:23:03 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 13]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  request_url in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 58]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 58]
2008-07-11 12:24:36 Notice: Notice (8): Undefined index:  offset in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 58]
2008-07-11 12:26:22 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 9]
2008-07-11 12:26:22 Notice: Notice (8): Undefined index:  total in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 54]
2008-07-11 12:27:12 Notice: Notice (8): Undefined index:  Bookmarks in [APP/controllers/bookmarks_controller.php, line 15]
2008-07-11 12:27:13 Notice: Notice (8): Undefined index:  Bookmarks in [APP/controllers/bookmarks_controller.php, line 15]
2008-07-11 12:27:25 Notice: Notice (8): Undefined index:  Bookmark in [APP/controllers/bookmarks_controller.php, line 15]
2008-07-11 12:27:26 Notice: Notice (8): Undefined index:  Bookmark in [APP/controllers/bookmarks_controller.php, line 15]
2008-07-11 12:30:51 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:30:51 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 12:51:33 Notice: Notice (8): Undefined index:  thml in [APP/tmp/smarty/compile/%%F8^F85^F857E227%%index.tpl.php, line 7]
2008-07-11 13:01:35 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 13:01:35 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 13:13:02 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 13:13:02 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 13:32:41 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-11 13:32:41 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:29:27 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:29:27 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:30:12 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:30:12 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:31:19 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:31:20 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:43:13 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:43:13 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:49:41 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-12 16:49:41 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-13 13:58:35 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-13 13:58:35 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-13 13:59:01 Notice: Notice (8): Undefined property: SideblockComponent::$controller in [APP/controllers/components/sideblock.php, line 15]
2008-07-13 13:59:01 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/components/sideblock.php, line 15]
2008-07-13 14:00:39 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 14:01:53 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:00:41 Notice: Notice (8): Undefined index:  users in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 28]
2008-07-13 15:02:54 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:02:54 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:02:54 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:02:55 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:02:55 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:04:24 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:04:24 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:04:24 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:04:25 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:04:25 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:04:30 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:04:30 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:04:30 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:04:32 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:04:32 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:05:03 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:05:03 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:05:03 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:05:05 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:05:05 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:10:04 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:10:04 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:10:04 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:10:05 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:10:05 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:10:12 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:10:12 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:10:25 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:10:25 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:10:31 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:10:31 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:10:31 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:10:32 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:10:32 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:11:51 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:11:51 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
2008-07-13 15:11:51 Notice: Notice (8): Undefined index:  Country in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 38]
2008-07-13 15:11:53 Notice: Notice (8): Undefined index:  Menu in [APP/views/helpers/menu.php, line 9]
2008-07-13 15:11:53 Notice: Notice (8): Undefined index:  UserMenu in [APP/tmp/smarty/compile/%%87^878^878ECA9A%%sidebar.tpl.php, line 8]
2008-07-13 15:13:10 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 17]
2008-07-13 15:13:10 Notice: Notice (8): Undefined index:  Group in [APP/tmp/smarty/compile/%%52^521^521BC2E6%%friends.tpl.php, line 20]
